title,magazine,author,abstract
espm: A Python library for the simulation of STEM-EDXS datasets,"Ultramicroscopy (IF 2.994 )

                

                Pub Date : 2023-03-23 ,DOI:10.1016/j.ultramic.2023.113719","Adrien Teurtrie, Nathanaël Perraudin, Thomas Holvoet, Hui Chen, Duncan T.L. Alexander, Guillaume Obozinski, Cécile Hébert","We present two open-source Python packages: “electron spectro-microscopy” (espm) and “electron microscopy tables” (emtables). The espm software enables the simulation of scanning transmission electron microscopy energy-dispersive X-ray spectroscopy datacubes, based on user-defined chemical compositions and spatial abundance maps of constituent phases. The simulation process uses X-ray emission cross-sections

                ..."
FTflow: An Open-Source Python GUI for FT-IM-MS Experiments,"Journal of the American Society for Mass Spectrometry (IF 3.262 )

                

                Pub Date : 2023-02-28 ,DOI:10.1021/jasms.2c00352","Elvin R. Cabrera, Arthur Laganowsky, Brian H. Clowers","populations. Furthermore, input fields for experimental conditions are clearly laid out for users and ease-of-use. With flexibility in mind, the processing scripts and GUI interface are written entirely in Python and allows users the option to modify source code to fit their specific needs. While the intention for this tool is to be a starting point for exploratory analysis of FT-IM-MS data, it has the capability

                ..."
GDDS: Python software for GNSS data download,"GPS Solutions (IF 4.517 )

                

                Pub Date : 2023-01-30 ,DOI:10.1007/s10291-023-01400-0","Liguo Lu, Qiao Liang, Weijian Hu, Tangting Wu","cumbersome, repetitive, and time-consuming, and it is challenging to meet the demands for rapid acquisition of multi-source data products. Therefore, we have developed a GNSS data download software with Python , which provides an interactive interface for the Windows or Linux operating system to realize the efficient and stable download for a large amount of GNSS data. The software includes five main function

                ..."
An empirical study of automated unit test generation for Python,"Empirical Software Engineering (IF 3.762 )

                

                Pub Date : 2023-01-31 ,DOI:10.1007/s10664-022-10248-w","Stephan Lukasczyk, Florian Kroiß, Gordon Fraser","for dynamically typed programming languages such as Python , however, is substantially more difficult due to the dynamic nature of these languages as well as the lack of type information. Our Pynguin framework provides automated unit test generation for Python . In this paper, we extend our previous work on Pynguin to support more aspects of the Python language, and by studying a larger variety of well-established

                ..."
cegpy: Modelling with chain event graphs in Python,"Knowledge-Based Systems (IF 8.139 )

                

                Pub Date : 2023-05-11 ,DOI:10.1016/j.knosys.2023.110615","Gareth Walley, Aditi Shenvi, Peter Strong, Katarzyna Kobalczyk","exists no software that allows a user to leverage the theoretical developments of the CEG model family in modelling processes with structural asymmetries. In this paper, we present cegpy: the first Python implementation of CEGs and the first across all languages to support structurally asymmetric processes. cegpy contains an implementation of Bayesian learning and probability propagation algorithms

                ..."
"A nosocomial Pseudomonas aeruginosa ST3495 isolated from a wild Burmese python ( Python bivittatus) with suppurative pneumonia and bacteremia in Hainan, China","Brazilian Journal of Microbiology (IF 2.214 )

                

                Pub Date : 2023-06-21 ,DOI:10.1007/s42770-023-01038-7","Roushan Li, Bo Ling, Jifeng Zeng, Xin Wang, Nuo Yang, Lixia Fan, Guiying Guo, Xuesong Li, Fei Yan, Jiping Zheng","Pseudomonas aeruginosa is a common infectious agent associated with respiratory diseases in boas and pythons , however, the histopathology, resistance and virulence are yet described for this species. In this study, we investigated a dying Burmese python rescued from tropical rainforest in Hainan. Clinical signs were open-mouthed breathing, abnormal shedding and anorexia. Abundant yellow mucopurulent

                ..."
Dipwmsearch: a python package for searching di-PWM motifs,"Bioinformatics (IF 6.931 )

                

                Pub Date : 2023-04-03 ,DOI:10.1093/bioinformatics/btad141","Marie Mille, Julie Ripoll, Bastien Cazaux, Eric Rivals","the HOCOMOCO database provides di-PWM motifs derived from experimental data. Currently, two programs, SPRy-SARUS and MOODS, can search for occurrences of di-PWMs in sequences. Results We propose a Python package called dipwmsearch, which provides an original and efficient algorithm for this task (it first enumerates matching words for the di-PWM, and then search these all at once in the sequence, even

                ..."
Pygenomics: manipulating genomic intervals and data files in Python,"Bioinformatics (IF 6.931 )

                

                Pub Date : 2023-05-25 ,DOI:10.1093/bioinformatics/btad346","Gaik Tamazian, Nikolay Cherkasov, Alexander Kanapin, Anastasia Samsonova","These features facilitate seamless integration of pygenomics routines into scripts and pipelines. The package is implemented in pure Python using its standard library only and contains the property-based testing framework. Comparison of pygenomics with other Python bioinformatic packages with relation to features and performance is presented. The performance comparison covers operations with genomic

                ..."
PyExaFMM: An Exercise in Designing High-Performance Software With Python and Numba,"Computing in Science & Engineering (IF 2.152 )

                

                Pub Date : 2023-05-12 ,DOI:10.1109/mcse.2023.3258288","Srinath Kailasa, Tingyu Wang, Lorena A. Barba, Timo Betcke","Numba is a game-changing compiler for high-performance computing with Python . It produces machine code that runs outside of the single-threaded Python interpreter, and that fully utilizes the resources of modern CPUs. This means support for parallel multithreading and auto-vectorization if available, as with compiled languages such as C++ or Fortran. In this article, we document our experience developing

                ..."
Shennong: A Python toolbox for audio speech features extraction,"Behavior Research Methods (IF 5.953 )

                

                Pub Date : 2023-02-07 ,DOI:10.3758/s13428-022-02029-6","Mathieu Bernard, Maxime Poli, Julien Karadayi, Emmanuel Dupoux","an open source, reliable and extensible framework built on top of the popular Kaldi speech processing library. The Python implementation makes it easy to use by non-technical users and integrates with third-party speech modeling and machine learning tools from the Python ecosystem. This paper describes the Shennong software architecture, its core components, and implemented algorithms. Then, three applications

                ..."
Blindspots in Python and Java APIs Result in Vulnerable Code,"ACM Transactions on Software Engineering and Methodology (IF 3.685 )

                

                Pub Date : 2023-04-26 ,DOI:https://dl.acm.org/doi/10.1145/3571850","Yuriy Brun, Tian Lin, Jessie Elise Somerville, Elisha M. Myers, Natalie Ebner","replication applies to Python and involves 129 new developers and 22 new APIs. We find that using APIs with blindspots statistically significantly reduces the developers’ ability to correctly reason about the APIs in both languages, but that the effect is more pronounced for Python . Interestingly, for Java, the effect increased with complexity of the code relying on the API, whereas for Python , the opposite

                ..."
Biofuels and Nanocatalysts: Python Boosting Visualization of Similarities.,"Materials (IF 3.748 )

                

                Pub Date : 2023-01-30 ,DOI:10.3390/ma16031175","Fernando Gomes Souza,Kaushik Pal,Jeffrey Dankwa Ampah,Maria Clara Dantas,Aruzza Araújo,Fabíola Maranhão,Priscila Domingues","submitted to automatic analysis via the Visualization of Similarities Method implemented in VOSviewer 1.6.18 software. Then, the data extracted from the VOSviewer were processed by software written in Python , which allowed the use of the network data generated by the Visualization of Similarities Method. Thus, it was possible to establish the relationships for the pair between the nodes of all clusters

                ..."
